id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by providing the specific SLA times for P1 tickets.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Every claim in the answer is directly supported by the context.,5,The answer directly and completely addresses the user's question about the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying who needs to approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not refundable, but it inaccurately implies that they can be refunded if there is a manufacturer defect without clearly stating the specific conditions that must be met.",5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,The model answer is missing the specific mention that digital products are exceptions to the refund policy.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about how many failed login attempts lead to an account being locked.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,4,Almost entirely grounded; the answer accurately describes the escalation process for P1 but does not explicitly mention the need for an initial response within 15 minutes.,5,"The answer directly and completely outlines the escalation process for P1 incidents, addressing the user's question thoroughly.",5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered in the model's answer.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely explains what the Approval Matrix is and its purpose in the context of system access permissions.,5,Retrieved: 1/1 expected sources,2,The model answer is missing the updated name of the document and does not mention the specific file name 'access-control-sop.md'.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is directly supported by the context.,5,The answer directly and completely addresses the user's question about the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền hợp lệ để thực hiện hành động yêu cầu. Cách xử lý có thể bao gồm việc kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, như tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Every claim in the answer is directly supported by the context, specifically the process for handling access requests.",5,The answer directly and completely explains what ERR-403-AUTH is and provides a clear method for handling the error.,,No expected sources,2,The model answer is missing the key information about the lack of documentation for ERR-403-AUTH and the suggestion to contact IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is no information in the retrieved context regarding an expedited refund process for VIP customers, which is supported by the context provided.",1,The answer does not address the question at all and states a lack of information.,5,Retrieved: 1/1 expected sources,3,The model answer misses the key information about the standard refund process timeframe of 3-5 working days.,baseline_dense
q11,Access Control,Level 4 Admin Access cần ai phê duyệt và giải quyết trong bao lâu?,"Level 4 Admin Access cần phê duyệt bởi IT Manager và CISO, và thời gian xử lý là 5 ngày làm việc [1].","Cần phê duyệt từ IT Manager và CISO, thời gian xử lý là 5 ngày làm việc. Đặc biệt yêu cầu thực hiện training bắt buộc về security policy.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question regarding who approves Level 4 Admin Access and the processing time.,5,Retrieved: 1/1 expected sources,4,The model answer is missing the detail about the mandatory training on security policy.,baseline_dense
q12,Access Control,"Trong trường hợp khẩn cấp P1, on-call IT Admin có quyền cấp quyền truy cập tạm thời không?","Có, trong trường hợp khẩn cấp P1, on-call IT Admin có quyền cấp quyền truy cập tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1].",Có. On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.,5,Every claim in the answer is directly supported by the context regarding the escalation process for granting temporary access.,5,The answer directly and completely addresses the user's question about the on-call IT Admin's authority in emergency situations.,5,Retrieved: 1/1 expected sources,4,The model answer is missing the detail about logging temporary permissions into the Security Audit system.,baseline_dense
q13,HR Policy,Nhân viên đã làm việc 4 năm ở công ty sẽ được bao nhiêu ngày phép năm?,Nhân viên đã làm việc 4 năm ở công ty sẽ được 15 ngày phép năm [1].,Nhân viên có từ 3-5 năm kinh nghiệm được nghỉ 15 ngày phép/năm.,5,"The answer accurately states that an employee with 4 years of experience is entitled to 15 days of annual leave, which is directly supported by the retrieved context.",5,The answer directly and completely addresses the question about the number of vacation days for an employee who has worked 4 years at the company.,5,Retrieved: 1/1 expected sources,5,"All key points from the reference are covered, including the experience requirement and the number of vacation days.",baseline_dense
q14,HR Policy,Hệ số lương làm thêm giờ vào những ngày cuối tuần là bao nhiêu?,Hệ số lương làm thêm giờ vào những ngày cuối tuần là 200% lương giờ tiêu chuẩn [1].,Nhân viên làm thêm vào ngày cuối tuần sẽ được tính 200% lương giờ tiêu chuẩn.,5,Every claim in the answer is directly supported by the context.,5,The answer directly and completely addresses the user's question about the overtime pay rate on weekends.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q15,IT Helpdesk,Một tài khoản VPN được kết nối tối đa trên bao nhiêu thiết bị cùng một lúc?,Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].,Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc.,5,Every claim in the answer is directly supported by the context.,5,The answer directly and completely addresses the user's question about the maximum number of devices that can be connected with one VPN account.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q16,Insufficient Context,Có bị tính phí hoặc khấu trừ lương khi được cấp laptop mới không?,Tôi không biết.,Không tìm thấy thông tin về việc lập hóa đơn hoặc trừ lương trong tài liệu. Quy định duy nhất là laptop được cấp vào ngày onboarding đầu tiên.,5,"The answer 'Tôi không biết' does not make any claims that contradict the retrieved context, and it is appropriate to abstain when unsure.",1,The answer does not address the question at all.,,No expected sources,1,The model's answer does not address any of the key points from the reference answer.,baseline_dense
q17,Refund,Sản phẩm được mua trong chương trình Flash Sale có được hoàn tiền không?,Sản phẩm được mua trong chương trình Flash Sale không được hoàn tiền nếu đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình này [1].,"Không, đơn hàng áp dụng mã giảm giá theo chương trình khuyến mãi Flash Sale thuộc trường hợp ngoại lệ không được hoàn tiền.",5,Every claim in the answer is directly supported by the context regarding the refund policy for products purchased during the Flash Sale.,5,The answer directly and completely addresses the user's question about the refund policy for products purchased during a Flash Sale.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered in the model's answer.,baseline_dense
q18,Refund,Tôi có được lợi ích gì thêm nếu chọn hoàn tiền bằng store credit?,"Nếu bạn chọn hoàn tiền bằng store credit, bạn sẽ nhận được giá trị 110% so với số tiền hoàn lại [1].","Nếu chọn nhận hoàn tiền bằng tín dụng nội bộ (store credit), khách hàng sẽ nhận được giá trị bằng 110% số tiền gốc được hoàn.",5,Every claim in the answer is directly supported by the context.,5,The answer directly and completely addresses the user's question about the benefits of choosing store credit for a refund.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q19,SLA,Một lỗi ảnh hưởng đến một nhóm người dùng cụ thể nhưng đã có cách vượt qua tạm thời được xếp vào mức độ ưu tiên nào?,Một lỗi ảnh hưởng đến một nhóm người dùng cụ thể nhưng đã có cách vượt qua tạm thời được xếp vào mức độ ưu tiên P2 — HIGH (Nghiêm trọng) [1].,"Sự cố ảnh hưởng một phần hệ thống, có workaround tạm thời được xếp hạng vào mức độ ưu tiên P2 - HIGH.",5,"Every claim in the answer is directly supported by the context, specifically the definition and example of P2 — HIGH.",5,The answer directly and completely addresses the user's question about the priority level of a specific type of error.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered in the model answer.,baseline_dense
q20,SLA,SLA để xử lý khắc phục hoàn toàn một ticket mức độ P3 là bao lâu?,SLA để xử lý khắc phục hoàn toàn một ticket mức độ P3 là 5 ngày làm việc [1].,Thời gian để xử lý và khắc phục hoàn toàn (resolution) một ticket P3 là 5 ngày làm việc.,5,"Every claim in the answer is directly supported by the context, specifically stating that the resolution time for a P3 ticket is 5 working days.",5,The answer directly and completely addresses the user's question about the SLA for resolving a P3 ticket.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about the SLA for handling P1 tickets.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Every claim in the answer is directly supported by the context.,5,The answer directly and completely addresses the user's question about the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Every claim in the answer is directly supported by the context regarding the approval requirements for Level 3 access.,5,The answer directly and completely addresses the question by specifying who needs to approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not refundable, but it inaccurately implies that they can be refunded if there is a manufacturer defect without clearly stating the other conditions that must be met.",5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,2,The model answer is missing the specific mention that digital products are exceptions to the refund policy and does not clearly state that they cannot be refunded.,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about how many failed login attempts lead to an account being locked.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, nếu engineer cần hỗ trợ thêm trong quá trình xử lý, họ cũng có thể escalate ngay lập tức [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely explains how escalation occurs in a P1 incident.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely explains what the Approval Matrix is and its purpose in granting system access.,5,Retrieved: 1/1 expected sources,2,The model answer is missing the updated name of the document and does not mention the specific file name 'access-control-sop.md'.,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer 'Tôi không biết' is a valid response as it does not make any claims that need to be supported by the retrieved context.,1,The answer does not address the question at all.,,No expected sources,1,The model answer does not provide any key information from the reference answer.,variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể nào trong bối cảnh về việc quy trình hoàn tiền khẩn cấp cho khách hàng VIP có khác hay không. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately reflects the lack of specific information regarding expedited refund processes for VIP customers in the retrieved context.,1,The answer does not address the question at all and provides no relevant information.,5,Retrieved: 1/1 expected sources,2,The model answer does not mention that the reference states there is no special process for VIP customers and only refers to the lack of specific information.,variant_hybrid_rerank
q11,Access Control,Level 4 Admin Access cần ai phê duyệt và giải quyết trong bao lâu?,"Level 4 Admin Access cần phê duyệt bởi IT Manager và CISO, và thời gian xử lý là 5 ngày làm việc [1].","Cần phê duyệt từ IT Manager và CISO, thời gian xử lý là 5 ngày làm việc. Đặc biệt yêu cầu thực hiện training bắt buộc về security policy.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question regarding who needs to approve Level 4 Admin Access and the processing time.,5,Retrieved: 1/1 expected sources,4,The model answer is missing the detail about the mandatory training on security policy.,variant_hybrid_rerank
q12,Access Control,"Trong trường hợp khẩn cấp P1, on-call IT Admin có quyền cấp quyền truy cập tạm thời không?","Có, trong trường hợp khẩn cấp P1, on-call IT Admin có quyền cấp quyền truy cập tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1].",Có. On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about the on-call IT Admin's authority in emergency situations.,5,Retrieved: 1/1 expected sources,4,The model answer is missing the detail about logging temporary permissions into the Security Audit system.,variant_hybrid_rerank
q13,HR Policy,Nhân viên đã làm việc 4 năm ở công ty sẽ được bao nhiêu ngày phép năm?,Nhân viên đã làm việc 4 năm ở công ty sẽ được 15 ngày phép năm [1].,Nhân viên có từ 3-5 năm kinh nghiệm được nghỉ 15 ngày phép/năm.,5,"The answer accurately states that an employee with 4 years of experience is entitled to 15 days of annual leave, which is directly supported by the retrieved context.",5,The answer directly and completely addresses the question about the number of vacation days for an employee who has worked 4 years at the company.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q14,HR Policy,Hệ số lương làm thêm giờ vào những ngày cuối tuần là bao nhiêu?,Hệ số lương làm thêm giờ vào những ngày cuối tuần là 200% lương giờ tiêu chuẩn [1].,Nhân viên làm thêm vào ngày cuối tuần sẽ được tính 200% lương giờ tiêu chuẩn.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about the overtime pay rate on weekends.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q15,IT Helpdesk,Một tài khoản VPN được kết nối tối đa trên bao nhiêu thiết bị cùng một lúc?,Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].,Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc.,5,Every claim in the answer is directly supported by the context.,5,The answer directly and completely addresses the user's question about the maximum number of devices that can be connected to a VPN account.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q16,Insufficient Context,Có bị tính phí hoặc khấu trừ lương khi được cấp laptop mới không?,Tôi không biết.,Không tìm thấy thông tin về việc lập hóa đơn hoặc trừ lương trong tài liệu. Quy định duy nhất là laptop được cấp vào ngày onboarding đầu tiên.,5,"The answer 'Tôi không biết' does not make any claims that contradict the retrieved context, and it is appropriate to abstain from answering when unsure.",1,The answer does not address the question at all.,,No expected sources,1,The model's answer does not address any of the key points from the reference answer.,variant_hybrid_rerank
q17,Refund,Sản phẩm được mua trong chương trình Flash Sale có được hoàn tiền không?,Sản phẩm được mua trong chương trình Flash Sale không được hoàn tiền nếu đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình này [1].,"Không, đơn hàng áp dụng mã giảm giá theo chương trình khuyến mãi Flash Sale thuộc trường hợp ngoại lệ không được hoàn tiền.",5,Every claim in the answer is directly supported by the context regarding the refund policy for products purchased during the Flash Sale.,5,The answer directly and completely addresses the user's question about the refund policy for products purchased during a Flash Sale.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered in the model's answer.,variant_hybrid_rerank
q18,Refund,Tôi có được lợi ích gì thêm nếu chọn hoàn tiền bằng store credit?,"Nếu bạn chọn hoàn tiền bằng store credit, bạn sẽ nhận được giá trị 110% so với số tiền hoàn lại [1].","Nếu chọn nhận hoàn tiền bằng tín dụng nội bộ (store credit), khách hàng sẽ nhận được giá trị bằng 110% số tiền gốc được hoàn.",5,"Every claim in the answer is directly supported by the context, specifically regarding the value of store credit being 110% of the refunded amount.",5,The answer directly and completely addresses the user's question about the benefits of choosing store credit for a refund.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
q19,SLA,Một lỗi ảnh hưởng đến một nhóm người dùng cụ thể nhưng đã có cách vượt qua tạm thời được xếp vào mức độ ưu tiên nào?,Một lỗi ảnh hưởng đến một nhóm người dùng cụ thể nhưng đã có cách vượt qua tạm thời được xếp vào mức độ ưu tiên P2 — HIGH (Nghiêm trọng) [1].,"Sự cố ảnh hưởng một phần hệ thống, có workaround tạm thời được xếp hạng vào mức độ ưu tiên P2 - HIGH.",5,The answer accurately describes a P2 — HIGH (Nghiêm trọng) incident as defined in the retrieved context.,5,The answer directly and completely addresses the user's question about the priority level of a specific type of error.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered in the model's answer.,variant_hybrid_rerank
q20,SLA,SLA để xử lý khắc phục hoàn toàn một ticket mức độ P3 là bao lâu?,SLA để xử lý khắc phục hoàn toàn một ticket mức độ P3 là 5 ngày làm việc [1].,Thời gian để xử lý và khắc phục hoàn toàn (resolution) một ticket P3 là 5 ngày làm việc.,5,"Every claim in the answer is directly supported by the context, specifically stating that the resolution time for a P3 ticket is 5 working days.",5,The answer directly and completely addresses the user's question about the SLA for resolving a P3 ticket.,5,Retrieved: 1/1 expected sources,5,All key points from the reference are covered.,variant_hybrid_rerank
